"Season","Team","H","HR","R","BB","SO","AVG","OBP","SLG","OPS","ISO","BABIP","wOBA","wRC","wRCplus"
"2011","Athletics","1330","114","645","509","1094",".244",".311",".369",".680",".125",".283",".301","615","89"
"2011","Astros","1442","95","615","401","1164",".258",".311",".374",".684",".116",".308",".301","615","88"
"2013","Yankees","1321","144","650","466","1214",".242",".307",".376",".683",".133",".285",".301","603","86"
"2012","Marlins","1327","137","609","484","1228",".244",".308",".382",".690",".138",".289",".300","615","87"
"2010","Pirates","1303","126","587","463","1207",".242",".304",".373",".678",".131",".288",".300","583","84"
"2015","White Sox","1381","136","622","404","1231",".250",".306",".380",".686",".130",".296",".300","617","89"
"2014","Diamondbacks","1379","118","615","398","1165",".248",".302",".376",".678",".127",".293",".300","601","83"
"2013","White Sox","1385","148","598","411","1207",".249",".302",".378",".680",".129",".291",".299","597","85"
"2014","Mariners","1328","136","634","396","1232",".244",".300",".376",".676",".132",".290",".299","592","94"
"2014","Mets","1306","125","629","516","1264",".239",".308",".364",".673",".126",".286",".299","603","92"
"2011","Pirates","1325","107","610","489","1308",".244",".309",".368",".676",".123",".301",".299","593","87"
"2018","Orioles","1317","188","622","422","1412",".239",".298",".391",".689",".152",".286",".299","628","87"
"2015","Phillies","1374","130","626","387","1274",".249",".303",".382",".684",".133",".299",".298","606","86"
"2015","Padres","1324","148","650","426","1327",".243",".300",".385",".685",".142",".292",".298","601","90"
"2013","Astros","1307","148","610","426","1535",".240",".299",".375",".674",".136",".304",".298","583","85"
"2017","Padres","1251","189","604","460","1499",".234",".299",".393",".692",".160",".287",".298","604","82"
"2016","Padres","1275","177","686","449","1500",".235",".299",".390",".689",".155",".291",".297","600","84"
"2002","Tigers","1340","124","575","363","1035",".248",".300",".379",".679",".132",".283",".297","571","82"
"2012","Cubs","1297","137","613","447","1235",".240",".302",".378",".680",".138",".286",".297","591","81"
"2013","Mets","1318","130","619","512","1384",".237",".306",".366",".672",".129",".291",".297","594","90"
"2017","Giants","1382","128","639","467","1204",".249",".309",".380",".689",".132",".294",".296","619","82"
"2014","Braves","1316","123","573","472","1369",".241",".305",".360",".665",".119",".298",".296","583","86"
"2016","Phillies","1306","161","610","424","1376",".240",".301",".385",".685",".144",".292",".296","594","81"
"2015","Braves","1361","100","573","471","1107",".251",".314",".359",".674",".108",".297",".296","587","84"
"2012","Astros","1276","146","583","463","1365",".236",".302",".371",".673",".135",".288",".296","588","82"
"2011","Twins","1357","103","619","440","1048",".247",".306",".360",".666",".113",".288",".296","578","82"
"2003","Tigers","1312","153","591","443","1099",".240",".300",".375",".675",".135",".272",".296","580","80"
"2018","Tigers","1326","135","630","428","1341",".241",".300",".380",".680",".138",".293",".295","609","84"
