"Season","Team","H","HR","R","BB","SO","AVG","OBP","SLG","OPS","ISO","BABIP","wOBA","wRC","wRCplus"
"2006","Tigers","1548","203","822","430","1133",".274",".329",".449",".777",".174",".310",".334","789","99"
"1999","Dodgers","1480","187","793","594","1030",".266",".339",".420",".760",".154",".294",".334","780","97"
"2002","Twins","1518","167","768","472","1089",".272",".332",".437",".769",".165",".309",".334","784","101"
"2006","Mets","1469","200","834","547","1071",".264",".334",".445",".780",".181",".293",".334","796","99"
"2004","Angels","1603","162","836","450","942",".282",".341",".429",".770",".147",".312",".334","798","103"
"2010","Blue Jays","1364","257","755","471","1164",".248",".312",".454",".766",".206",".269",".334","758","105"
"2016","Cubs","1409","199","808","656","1339",".256",".343",".429",".772",".173",".302",".333","822","106"
"2006","Rockies","1504","157","813","561","1108",".270",".341",".433",".774",".163",".310",".333","795","87"
"2000","Pirates","1506","168","793","564","1032",".267",".339",".424",".762",".157",".299",".333","790","91"
"2003","Astros","1466","191","805","557","1021",".263",".336",".431",".767",".169",".289",".333","799","97"
"1999","Devil Rays","1531","145","772","544","1042",".274",".343",".411",".754",".137",".312",".333","776","92"
"2009","Indians","1468","161","773","582","1211",".264",".339",".417",".756",".153",".308",".333","780","100"
"2010","Rockies","1452","173","770","585","1274",".263",".336",".425",".760",".162",".310",".333","777","91"
"2010","Rangers","1556","162","787","511","986",".276",".338",".419",".757",".143",".307",".333","783","98"
"2008","Orioles","1486","172","782","533","990",".267",".333",".429",".762",".162",".296",".333","771","99"
"2007","Mariners","1629","153","794","389","861",".287",".337",".425",".762",".138",".313",".333","777","103"
"2018","Dodgers","1394","235","804","647","1436",".250",".333",".442",".774",".191",".294",".333","831","111"
"2007","Angels","1578","123","822","507","883",".284",".345",".417",".762",".133",".315",".333","775","100"
"2017","Rockies","1510","192","824","519","1408",".273",".338",".444",".781",".171",".332",".332","810","87"
"2001","Red Sox","1493","198","772","520","1131",".266",".334",".439",".773",".173",".300",".332","805","100"
"2003","Phillies","1448","166","791","651","1155",".261",".343",".419",".762",".158",".301",".332","797","100"
"2008","Mets","1491","172","799","619","1024",".266",".340",".420",".761",".154",".296",".332","783","100"
"2001","Twins","1514","164","771","495","1083",".272",".337",".433",".770",".161",".310",".332","793","99"
"2006","Reds","1419","217","749","614","1192",".257",".336",".432",".768",".175",".290",".332","787","94"
"2009","Marlins","1493","159","772","568","1226",".268",".340",".416",".756",".148",".316",".332","766","97"
"2003","Royals","1526","162","836","476","926",".274",".336",".427",".763",".153",".301",".332","785","95"
"2008","Braves","1514","130","753","618","1023",".270",".345",".408",".753",".138",".309",".332","781","99"
"2000","Diamondbacks","1466","179","792","535","975",".265",".333",".429",".763",".164",".290",".332","765","88"
"2010","White Sox","1467","177","752","467","922",".268",".332",".420",".752",".152",".292",".332","754","100"
"2009","Dodgers","1511","145","780","607","1068",".270",".346",".412",".758",".141",".309",".332","775","102"
"2001","Yankees","1488","203","804","519","1035",".267",".334",".435",".769",".168",".293",".332","796","103"
"2005","Braves","1453","184","769","534","1084",".265",".333",".435",".768",".170",".298",".331","766","100"
"2012","Angels","1518","187","767","449","1113",".274",".332",".433",".764",".159",".311",".331","776","113"
"2009","Rangers","1436","224","784","472","1253",".260",".320",".445",".764",".185",".296",".331","745","92"
"2014","Tigers","1557","155","757","443","1144",".277",".331",".426",".757",".150",".319",".331","768","112"
"2006","Orioles","1556","164","768","474","878",".277",".339",".424",".763",".146",".302",".331","780","96"
"2002","Rockies","1508","152","778","497","1043",".274",".337",".423",".760",".149",".311",".331","766","82"
"2017","Cubs","1402","223","822","622","1401",".255",".338",".437",".775",".182",".302",".331","816","101"
"2005","Cardinals","1494","170","805","534","947",".270",".339",".423",".762",".153",".297",".331","772","100"
"2002","Phillies","1428","165","710","640","1095",".259",".339",".422",".761",".163",".294",".331","780","101"
"2012","Rockies","1526","166","758","450","1213",".274",".330",".436",".766",".163",".321",".331","780","90"
"2017","Nationals","1477","215","819","542","1327",".266",".332",".449",".782",".183",".311",".331","805","99"
"2003","Mariners","1509","139","795","586","989",".271",".344",".410",".754",".139",".306",".331","784","104"
"2003","Pirates","1492","163","753","529","1049",".267",".338",".420",".758",".153",".302",".331","783","97"
"2006","Cardinals","1484","184","781","531","922",".269",".337",".431",".769",".163",".292",".331","774","98"
"2002","Cardinals","1475","175","787","542","927",".268",".338",".425",".763",".157",".292",".331","770","101"
"2018","Indians","1447","216","818","554","1189",".259",".332",".434",".766",".176",".291",".330","816","104"
"2008","Rockies","1462","160","747","570","1209",".263",".336",".415",".751",".152",".308",".330","761","88"
"2008","Marlins","1397","208","770","543","1371",".254",".326",".433",".759",".179",".300",".330","752","96"
"1998","Angels","1530","147","787","510","1028",".272",".335",".415",".751",".144",".308",".330","770","94"
"2004","Twins","1494","191","780","513","982",".266",".332",".431",".763",".166",".290",".330","777","97"
"2016","Tigers","1476","211","750","493","1303",".267",".331",".438",".769",".171",".312",".330","782","106"
"2003","Giants","1440","180","755","593","980",".264",".338",".425",".763",".161",".291",".330","771","100"
"1999","Pirates","1417","171","775","573","1197",".259",".334",".419",".753",".160",".301",".330","745","88"
"2010","Tigers","1515","152","751","546","1147",".268",".335",".415",".750",".147",".311",".330","770","102"
"2005","Orioles","1492","189","729","447","902",".269",".327",".434",".761",".165",".289",".330","754","101"
"2017","Dodgers","1347","221","770","649","1380",".249",".334",".437",".771",".188",".293",".330","797","104"
"2008","Brewers","1398","198","750","550","1203",".253",".325",".431",".757",".179",".287",".329","755","97"
"2002","Astros","1441","167","749","589","1120",".262",".338",".417",".755",".156",".300",".329","764","94"
"2018","Athletics","1407","227","813","550","1381",".252",".325",".439",".764",".187",".294",".329","806","110"
"2012","Brewers","1442","202","776","466","1240",".259",".325",".437",".762",".177",".299",".329","778","102"
"2017","Diamondbacks","1405","220","812","578","1456",".254",".329",".445",".774",".190",".306",".329","799","95"
"2012","Cardinals","1526","159","765","533","1192",".271",".338",".421",".759",".150",".316",".329","788","106"
"2005","Cubs","1506","194","703","419","920",".270",".324",".440",".764",".170",".291",".329","754","95"
"2006","Marlins","1454","182","758","497","1249",".264",".331",".435",".766",".171",".309",".329","760","96"
"2007","Rangers","1460","179","816","503","1224",".263",".328",".426",".754",".163",".305",".329","757","94"
"2004","Padres","1521","139","768","566","910",".273",".342",".414",".756",".141",".301",".329","772","103"
"2016","Cardinals","1416","225","779","526","1318",".255",".325",".443",".768",".187",".294",".329","786","105"
"2017","Twins","1444","206","815","593","1342",".260",".334",".434",".768",".174",".306",".329","805","102"
"2002","Blue Jays","1457","187","813","522","1142",".261",".327",".430",".757",".169",".295",".329","764","97"
"2001","Cubs","1409","194","777","577","1077",".261",".336",".430",".766",".169",".290",".329","778","98"
"2007","Cubs","1530","151","752","500","1054",".271",".333",".422",".754",".150",".308",".329","761","90"
"2006","Athletics","1429","175","771","650","976",".260",".340",".412",".752",".152",".285",".328","771","97"
"2007","Athletics","1430","171","741","664","1119",".256",".338",".407",".745",".151",".290",".328","773","99"
"2012","Tigers","1467","163","726","511","1103",".268",".335",".422",".757",".154",".307",".328","763","105"
"2008","Twins","1572","111","829","529","979",".279",".340",".408",".748",".129",".316",".328","761","99"
"2009","Tigers","1443","183","743","540","1114",".260",".331",".416",".747",".156",".294",".328","742","94"
"2009","Orioles","1508","160","741","517","1013",".268",".332",".415",".747",".147",".300",".328","742","93"
"1999","Cubs","1411","189","747","571","1170",".257",".329",".420",".749",".163",".293",".328","732","87"
"2005","Diamondbacks","1419","191","696","606","1094",".256",".332",".421",".754",".165",".285",".328","761","91"
"2010","Braves","1411","139","738","634","1140",".258",".339",".401",".740",".143",".301",".327","746","100"
"2005","Devil Rays","1519","157","750","412","990",".274",".329",".425",".754",".151",".306",".327","741","101"
"2003","Marlins","1459","157","751","515","978",".266",".333",".421",".754",".155",".296",".327","753","99"
"2000","Expos","1475","178","738","476","1048",".266",".326",".432",".758",".165",".299",".327","731","87"
"2004","Dodgers","1450","203","761","536","1092",".262",".332",".423",".755",".161",".291",".327","755","97"
"2006","Angels","1539","159","766","486","914",".274",".334",".425",".759",".150",".301",".327","758","95"
"2005","Brewers","1413","175","726","531","1162",".259",".331",".423",".754",".163",".298",".327","740","95"
"2009","Nationals","1416","156","710","617","1208",".258",".337",".406",".743",".148",".302",".327","739","96"
"2006","Nationals","1437","164","746","594","1156",".262",".338",".418",".756",".156",".301",".327","760","96"
"2009","Braves","1459","149","735","602","1064",".263",".339",".405",".744",".142",".300",".327","744","97"
"2007","Orioles","1529","142","756","500","939",".272",".333",".412",".746",".141",".302",".327","753","95"
"2000","Twins","1516","116","748","556","1021",".270",".337",".407",".744",".137",".309",".327","749","86"
"2013","Athletics","1403","186","767","573","1178",".254",".327",".419",".745",".165",".289",".327","743","108"
"2011","Brewers","1422","185","721","481","1083",".261",".325",".425",".750",".164",".293",".327","736","103"
"2000","Cubs","1426","183","764","632","1120",".256",".335",".411",".746",".155",".288",".327","759","89"
"2014","Dodgers","1476","134","718","519","1246",".265",".333",".406",".738",".140",".318",".327","745","112"
"2016","Blue Jays","1358","221","759","632","1362",".248",".330",".426",".755",".178",".289",".327","778","104"
"2018","Astros","1390","205","797","565","1197",".255",".329",".425",".754",".170",".289",".327","778","110"
"2010","Phillies","1451","166","772","560","1064",".260",".332",".413",".745",".153",".292",".327","747","99"
"1998","Athletics","1413","149","804","633","1122",".257",".338",".397",".735",".140",".296",".327","752","94"
"2016","Indians","1435","185","777","531","1246",".262",".329",".430",".759",".168",".304",".326","767","100"
"1999","Expos","1473","163","718","438","939",".265",".323",".427",".751",".162",".292",".326","720","86"
"2004","Reds","1380","194","750","599","1335",".250",".331",".418",".749",".168",".295",".326","753","92"
"1998","Reds","1441","138","750","608","1107",".262",".337",".402",".739",".140",".303",".326","743","92"
"2010","Rays","1343","160","802","672","1292",".247",".333",".403",".736",".156",".293",".326","745","106"
"2006","Diamondbacks","1506","160","773","504","965",".267",".331",".424",".755",".157",".294",".326","758","87"
"2007","Cardinals","1513","141","725","506","909",".274",".337",".405",".743",".132",".303",".326","737","94"
"2005","Marlins","1499","128","717","512","918",".272",".339",".409",".748",".137",".304",".326","742","98"
"2002","Expos","1432","162","735","575","1104",".261",".334",".418",".752",".157",".298",".326","746","93"
"2009","White Sox","1410","184","724","534","1022",".258",".329",".411",".740",".153",".285",".326","719","91"
"2007","Blue Jays","1434","165","753","533","1044",".259",".327",".419",".746",".160",".290",".326","738","95"
"2007","Dodgers","1544","129","735","511","864",".275",".337",".406",".743",".131",".303",".326","745","94"
"2017","Cardinals","1402","196","761","593","1348",".256",".334",".426",".760",".170",".304",".326","779","100"
"2016","Orioles","1413","253","744","468","1324",".256",".317",".443",".760",".188",".291",".326","755","103"
"2003","Brewers","1423","196","714","547","1221",".256",".329",".419",".748",".163",".294",".325","752","93"
"2018","Nationals","1402","191","771","631","1289",".254",".335",".419",".753",".164",".297",".325","787","101"
"2016","Mariners","1446","223","768","506","1288",".259",".326",".430",".756",".171",".297",".325","770","108"
"2005","Rockies","1478","150","741","509","1103",".267",".333",".411",".744",".144",".307",".325","741","85"
"2009","Cardinals","1436","160","730","528","1041",".263",".332",".415",".747",".152",".296",".325","720","98"
"2014","Blue Jays","1435","177","723","502","1151",".259",".323",".414",".736",".155",".295",".325","734","107"
"2010","Diamondbacks","1366","180","713","589","1529",".250",".325",".416",".740",".166",".312",".325","727","93"
"2017","Reds","1390","219","753","565","1329",".253",".329",".433",".761",".179",".294",".325","774","95"
"2013","Angels","1476","164","733","523","1221",".264",".329",".414",".743",".150",".307",".325","741","109"
"2018","Rockies","1418","210","780","507","1397",".256",".322",".435",".757",".179",".304",".325","769","87"
"2011","Royals","1560","129","730","442","1006",".275",".329",".415",".744",".140",".311",".325","746","101"
"2007","Astros","1457","167","723","547","1043",".260",".330",".412",".742",".152",".291",".325","742","92"
"1998","Padres","1390","167","749","604","1072",".253",".330",".409",".739",".155",".285",".325","734","99"
"2006","Padres","1465","161","731","564","1104",".263",".332",".416",".749",".154",".299",".325","748","99"
"2015","Astros","1363","230","729","486","1392",".250",".315",".437",".752",".187",".292",".325","739","108"
"2017","Marlins","1497","194","778","486","1282",".267",".331",".431",".761",".163",".313",".325","775","102"
"2014","Pirates","1436","156","682","520","1244",".259",".330",".404",".734",".145",".307",".325","733","108"
"2008","Angels","1486","159","765","481","987",".268",".330",".413",".743",".145",".299",".324","722","96"
"2005","White Sox","1450","200","741","435","1002",".262",".322",".425",".747",".163",".286",".324","729","95"
"2005","Tigers","1521","168","723","384","1038",".272",".321",".428",".750",".157",".304",".324","727","99"
"2001","Blue Jays","1489","195","767","470","1094",".263",".325",".430",".755",".167",".293",".324","765","94"
"2009","Cubs","1398","161","707","592","1185",".255",".332",".407",".738",".152",".296",".324","722","90"
"2008","Diamondbacks","1355","159","720","587","1287",".251",".327",".415",".742",".164",".299",".324","716","88"
"2000","Marlins","1441","160","731","540","1184",".262",".331",".409",".740",".147",".304",".324","722","89"
"2013","Rockies","1511","159","706","427","1204",".270",".323",".418",".741",".149",".317",".324","719","87"
"2013","Indians","1391","171","745","562","1283",".255",".327",".410",".737",".155",".300",".324","725","104"
"2012","Nationals","1468","194","731","479","1325",".261",".322",".428",".750",".166",".308",".324","751","101"
"2016","Rangers","1446","215","765","436","1220",".262",".322",".433",".755",".172",".298",".324","747","95"
"2013","Rays","1421","165","700","589","1171",".257",".329",".408",".737",".151",".295",".324","733","107"
"2011","Rockies","1429","163","735","555","1201",".258",".329",".410",".739",".152",".300",".324","739","88"
"2015","Tigers","1515","151","689","455","1259",".270",".328",".420",".748",".150",".322",".324","745","103"
"1998","Tigers","1494","165","722","455","1070",".264",".323",".415",".738",".152",".297",".324","733","90"
"2009","Diamondbacks","1408","173","720","571","1298",".253",".324",".418",".742",".165",".299",".324","722","89"
"2005","Blue Jays","1480","136","775","486","955",".265",".331",".407",".738",".142",".296",".323","734","94"
"2013","Orioles","1460","212","745","416","1125",".260",".313",".431",".744",".171",".288",".323","719","101"
"2002","Marlins","1433","146","699","595","1130",".261",".337",".403",".740",".142",".301",".323","734","97"
"2012","Diamondbacks","1416","165","734","539","1266",".259",".328",".418",".746",".159",".307",".323","736","97"
"2003","Angels","1473","150","736","476","838",".268",".330",".413",".743",".144",".291",".323","725","96"
"2005","Athletics","1476","155","772","537","819",".262",".330",".407",".737",".145",".281",".323","738","99"
"2006","Royals","1515","124","757","474","1040",".271",".332",".411",".743",".140",".311",".323","736","92"
"2015","Yankees","1397","212","764","554","1227",".251",".323",".421",".744",".170",".283",".323","754","103"
"2001","Marlins","1461","166","742","470","1145",".264",".326",".423",".749",".159",".303",".323","738","95"
"2013","Rangers","1465","176","730","462","1067",".262",".323",".412",".735",".150",".294",".323","722","97"
"2003","Diamondbacks","1467","152","717","531","1006",".263",".330",".417",".746",".153",".295",".323","736","86"
"2010","Royals","1534","121","676","471","905",".274",".331",".399",".730",".126",".305",".323","721","98"
"2014","Orioles","1434","211","705","401","1285",".256",".311",".422",".734",".166",".296",".323","717","104"
"2017","Athletics","1344","234","739","565","1491",".246",".319",".436",".755",".190",".294",".323","756","102"
"2006","Mariners","1540","172","756","404","974",".272",".325",".424",".749",".153",".300",".322","731","95"
"2002","Braves","1428","164","708","558","1028",".260",".331",".409",".741",".150",".290",".322","724","94"
"2006","Brewers","1400","180","730","502","1233",".258",".327",".420",".747",".162",".300",".322","715","89"
"2003","Athletics","1398","176","768","556","898",".254",".327",".417",".743",".162",".273",".322","730","95"
"2018","Rays","1415","150","716","540","1388",".258",".333",".406",".740",".148",".317",".322","762","105"
"2013","Cardinals","1494","125","783","481","1110",".269",".332",".401",".733",".133",".314",".322","715","104"
"2018","Brewers","1398","218","754","537","1458",".252",".323",".424",".747",".172",".302",".322","760","99"
"2008","Astros","1432","167","712","449","1051",".263",".323",".415",".737",".152",".296",".322","695","94"
"2002","Reds","1386","169","709","583","1188",".253",".330",".408",".738",".155",".293",".322","724","91"
"2001","Dodgers","1399","206","758","519","1062",".255",".323",".425",".748",".170",".279",".322","735","97"
"2008","Blue Jays","1453","126","714","521","938",".264",".331",".399",".731",".135",".295",".322","711","94"
"2015","Dodgers","1346","187","667","563","1258",".250",".326",".413",".739",".163",".292",".322","723","106"
"2007","Pirates","1463","148","724","463","1135",".263",".325",".411",".736",".149",".303",".322","715","90"
"2011","Reds","1438","183","735","535","1250",".256",".326",".408",".734",".152",".297",".322","735","99"
"2010","Cardinals","1456","150","736","541","1027",".263",".332",".402",".733",".139",".296",".322","720","99"
"2017","Mets","1379","224","735","529","1291",".250",".320",".434",".755",".184",".286",".322","753","101"
"1999","Padres","1360","153","710","631","1169",".252",".332",".393",".725",".141",".294",".322","693","90"
"2016","Nationals","1403","203","763","536","1253",".256",".325",".426",".751",".170",".293",".322","744","96"
"2011","Diamondbacks","1357","172","731","531","1249",".250",".322",".413",".736",".163",".294",".322","710","97"
"2006","Astros","1407","174","735","585","1076",".255",".332",".409",".741",".154",".286",".322","734","90"
"2012","White Sox","1409","211","748","461","1203",".255",".318",".422",".740",".167",".289",".322","728","98"
"2016","Diamondbacks","1479","190","752","463","1427",".261",".320",".432",".752",".171",".315",".321","751","93"
"2008","Dodgers","1455","137","700","543","1032",".264",".333",".399",".732",".134",".301",".321","705","93"
"2017","Rangers","1326","237","799","544","1493",".244",".320",".430",".750",".186",".291",".321","747","91"
"2001","Padres","1379","161","789","678","1273",".252",".336",".399",".735",".147",".297",".321","745","97"
"1998","Brewers","1439","152","707","532","1039",".260",".330",".396",".726",".136",".294",".321","715","91"
"2017","Brewers","1363","224","732","547","1571",".249",".322",".429",".751",".180",".308",".321","745","93"
"2015","Red Sox","1495","161","748","478","1148",".265",".325",".415",".740",".149",".305",".321","740","99"
"2000","Devil Rays","1414","162","733","558","1022",".257",".329",".399",".728",".142",".287",".321","708","83"
"2015","Rockies","1479","186","737","388","1283",".265",".315",".432",".748",".167",".313",".321","718","87"
"2000","Padres","1413","157","752","602","1177",".254",".330",".402",".732",".148",".294",".321","714","91"
"2017","Mariners","1436","200","750","487","1267",".259",".325",".424",".749",".165",".300",".321","751","104"
"2003","Cubs","1431","172","724","492","1158",".259",".323",".416",".739",".157",".297",".321","718","91"
"2017","Tigers","1435","187","735","503","1313",".258",".324",".424",".748",".166",".306",".321","749","98"
"2014","Angels","1464","155","773","492","1266",".259",".322",".406",".728",".147",".305",".321","726","110"
"2001","Phillies","1431","164","746","551","1125",".260",".329",".414",".743",".154",".297",".321","735","92"
"2018","Cubs","1453","167","761","576","1388",".258",".333",".410",".744",".152",".313",".321","772","100"
"2004","Marlins","1447","148","718","499","968",".264",".329",".406",".736",".143",".295",".321","710","94"
"2015","Rangers","1419","172","751","503","1233",".257",".325",".413",".739",".156",".300",".321","732","98"
"2001","Reds","1464","176","735","468","1172",".262",".324",".419",".744",".157",".301",".321","733","88"
"2009","Athletics","1464","135","759","527","1046",".262",".328",".397",".726",".135",".298",".320","705","94"
"2009","Mets","1472","95","671","526","928",".270",".335",".394",".729",".124",".307",".320","691","94"
"2000","Phillies","1386","144","708","611","1117",".251",".329",".400",".729",".148",".290",".320","707","83"
"2001","Brewers","1378","209","740","488","1399",".251",".319",".426",".745",".175",".299",".320","722","90"
"2002","Indians","1349","192","739","542","1000",".249",".321",".412",".733",".163",".271",".320","704","95"
"2013","Blue Jays","1398","185","712","510","1123",".252",".318",".411",".729",".158",".284",".320","704","99"
"2004","Blue Jays","1438","145","719","513","1083",".260",".328",".403",".732",".143",".298",".320","712","88"
"2007","Diamondbacks","1350","171","712","532","1111",".250",".321",".413",".734",".163",".282",".320","692","82"
"2006","Cubs","1496","166","716","395","928",".268",".319",".422",".741",".154",".294",".320","705","84"
"2011","Orioles","1434","191","708","452","1120",".257",".316",".413",".729",".156",".288",".320","709","96"
"2005","Mets","1421","175","722","486","1075",".258",".322",".416",".738",".158",".290",".320","701","93"
"2010","Giants","1411","162","697","487","1099",".257",".321",".408",".729",".151",".293",".320","692","98"
"2006","Giants","1418","163","746","494","891",".259",".324",".422",".746",".163",".282",".320","706","88"
"2007","Padres","1408","171","741","557","1229",".251",".322",".411",".732",".160",".291",".320","717","96"
"2002","Cubs","1351","200","707","586","1269",".246",".321",".413",".734",".167",".283",".320","712","93"
"2011","Rays","1324","172","707","571","1193",".244",".322",".402",".724",".159",".281",".319","707","103"
"2011","Mets","1477","108","718","571","1085",".264",".335",".391",".725",".127",".307",".319","722","102"
"2000","Brewers","1366","177","740","620","1245",".246",".325",".403",".729",".158",".284",".319","712","82"
"2011","Blue Jays","1384","186","743","525","1184",".249",".317",".413",".730",".164",".283",".319","714","97"
"2015","Diamondbacks","1494","154","720","490","1312",".264",".324",".414",".738",".150",".316",".319","732","95"
"2018","Braves","1433","175","759","511","1290",".257",".324",".417",".742",".161",".302",".319","748","97"
"2008","Reds","1351","187","704","560","1125",".247",".321",".408",".729",".161",".278",".319","692","87"
"1998","Royals","1459","134","714","475","984",".263",".324",".399",".724",".136",".295",".319","699","85"
"2018","Blue Jays","1336","217","709","499","1387",".244",".312",".427",".739",".183",".286",".319","729","101"
"2005","Angels","1520","147","761","447","848",".270",".325",".409",".734",".139",".294",".319","705","96"
"1998","Mets","1425","136","706","572","1049",".259",".330",".394",".724",".135",".295",".318","702","93"
"2016","Pirates","1426","153","729","561","1334",".257",".332",".402",".734",".144",".311",".318","735","97"
"2010","Marlins","1403","152","719","514","1375",".254",".321",".403",".724",".149",".309",".318","694","92"
"2017","Orioles","1469","232","743","392","1412",".260",".312",".435",".747",".175",".306",".318","735","97"
"2015","Giants","1486","136","696","457","1159",".267",".326",".406",".732",".139",".313",".318","713","104"
"2005","Padres","1416","130","684","600","977",".257",".333",".391",".724",".134",".289",".318","707","98"
"2013","Braves","1354","181","688","542","1384",".249",".321",".402",".723",".153",".300",".318","689","102"
"2015","Royals","1497","139","724","383","973",".269",".322",".412",".734",".144",".301",".318","711","99"
"2005","Astros","1400","161","693","481","1037",".256",".322",".408",".730",".152",".288",".318","691","90"
"2010","Cubs","1414","149","685","479","1236",".257",".320",".401",".721",".145",".304",".318","684","90"
"2001","Angels","1447","158","691","494","1001",".261",".327",".405",".732",".144",".290",".318","723","93"
"2003","Padres","1442","128","678","565","1073",".261",".333",".388",".721",".127",".301",".318","710","95"
"2009","Royals","1432","144","686","457","1091",".259",".318",".405",".724",".146",".298",".318","675","88"
"2007","Twins","1460","118","718","512","839",".264",".330",".391",".721",".127",".291",".317","689","91"
"2003","Orioles","1516","152","743","431","903",".267",".323",".405",".728",".138",".293",".317","711","94"
"2004","Mariners","1544","136","698","492","1058",".270",".331",".396",".727",".127",".308",".317","719","93"
"2001","Braves","1432","174","729","493","1039",".260",".324",".412",".736",".152",".290",".317","706","89"
"2005","Dodgers","1374","149","685","541","1094",".253",".326",".395",".721",".142",".290",".317","686","91"
"2013","Dodgers","1447","138","649","476","1146",".264",".326",".396",".722",".133",".308",".317","685","103"
"2016","Twins","1409","200","722","513","1426",".251",".316",".421",".738",".171",".300",".317","729","95"
"1999","Marlins","1465","128","691","479","1145",".263",".325",".395",".719",".132",".307",".317","679","84"
"1998","Twins","1499","115","734","506","915",".266",".328",".389",".717",".123",".297",".317","700","83"
"2018","Reds","1404","172","696","559","1376",".254",".328",".401",".729",".148",".307",".317","737","95"
"1998","Phillies","1482","126","713","508","1080",".264",".326",".395",".721",".131",".303",".317","700","87"
"2008","Pirates","1454","153","735","474","1039",".258",".320",".403",".723",".145",".290",".317","692","89"
"2002","Dodgers","1464","155","713","428","940",".264",".320",".409",".729",".146",".291",".317","688","96"
"2016","Astros","1367","198","724","554","1452",".247",".319",".417",".735",".170",".298",".317","724","101"
"2014","Nationals","1403","152","686","517","1304",".253",".321",".393",".714",".140",".303",".317","694","99"
"2012","Orioles","1375","214","712","480","1315",".247",".311",".417",".728",".170",".286",".317","708","96"
"2007","White Sox","1341","190","693","532","1149",".246",".318",".404",".722",".158",".278",".316","679","86"
"2006","Devil Rays","1395","190","689","441","1106",".255",".314",".420",".733",".165",".285",".316","680","89"
"2002","Royals","1415","140","737","524","921",".256",".323",".398",".721",".143",".282",".316","697","85"
"2014","Twins","1412","128","715","544","1329",".254",".324",".389",".713",".135",".309",".316","701","100"
"2003","Expos","1404","144","711","522","990",".258",".326",".401",".727",".143",".290",".316","688","85"
"2017","Red Sox","1461","168","785","571","1224",".258",".329",".407",".736",".149",".300",".316","748","91"
"1999","Angels","1404","158","711","511","1022",".256",".322",".395",".716",".139",".286",".316","667","80"
"2012","Red Sox","1459","165","734","428","1197",".260",".315",".415",".730",".155",".301",".316","710","95"
"2001","Tigers","1439","139","724","466","972",".260",".320",".409",".730",".150",".291",".316","704","94"
"2018","Cardinals","1369","205","759","525","1380",".249",".321",".409",".730",".160",".294",".316","727","98"
"2017","Braves","1467","165","732","474","1184",".263",".326",".412",".738",".150",".305",".316","723","89"
"2017","Rays","1340","228","694","545","1538",".245",".317",".422",".739",".178",".296",".316","722","98"
"2013","Reds","1370","155","698","585","1245",".249",".327",".391",".718",".142",".293",".316","692","96"
"1999","Twins","1450","105","686","500","978",".264",".328",".384",".712",".120",".301",".315","663","79"
"2015","Indians","1395","141","669","533","1157",".256",".325",".401",".725",".144",".299",".315","700","97"
"2005","Pirates","1445","139","680","471","1092",".259",".322",".400",".723",".141",".297",".315","687","89"
"2016","Brewers","1299","194","671","599","1543",".244",".322",".407",".729",".163",".304",".315","695","92"
"2011","Phillies","1409","153","713","539","1024",".253",".323",".395",".717",".142",".283",".315","697","96"
"2008","Royals","1507","120","691","392","1005",".269",".320",".397",".717",".128",".307",".315","669","87"
"2015","Orioles","1370","217","713","418","1331",".250",".307",".421",".728",".171",".291",".315","684","97"
"2009","Astros","1415","142","643","448","990",".260",".319",".400",".719",".140",".293",".315","651","89"
"2007","Nationals","1415","123","673","524","1128",".256",".325",".390",".715",".134",".300",".315","677","88"
"2004","Devil Rays","1416","145","714","469","944",".258",".320",".405",".725",".147",".286",".315","675","87"
"2016","Mets","1342","218","671","517","1302",".246",".316",".417",".733",".171",".282",".315","699","99"
"2018","Rangers","1308","194","737","555","1484",".240",".318",".404",".722",".164",".292",".315","718","90"
"2016","Giants","1437","130","715","572","1107",".258",".329",".398",".728",".140",".299",".315","717","96"
"2006","Pirates","1462","141","691","459","1200",".263",".327",".397",".723",".134",".310",".315","686","86"
"2015","Nationals","1363","177","703","539","1344",".251",".321",".403",".724",".151",".300",".315","691","96"
"2016","Rays","1333","216","672","449","1482",".243",".307",".426",".733",".182",".293",".315","694","98"
"2016","Dodgers","1375","189","725","525","1321",".249",".319",".409",".728",".160",".294",".314","705","97"
"2004","Pirates","1428","142","680","415","1066",".260",".321",".401",".722",".141",".298",".314","670","85"
"2002","Mets","1409","160","690","486","1044",".256",".322",".395",".717",".139",".289",".314","676","91"
"2012","Giants","1495","103","718","483","1097",".269",".327",".397",".724",".128",".315",".314","699","101"
"2004","Royals","1432","150","720","461","1057",".259",".322",".397",".720",".139",".293",".314","681","82"
"2011","Indians","1380","154","704","494","1269",".250",".317",".396",".714",".146",".297",".314","680","99"
"2003","Devil Rays","1501","137","715","420","1030",".265",".320",".404",".724",".139",".301",".314","691","90"
"2004","Mets","1376","185","684","512","1159",".249",".317",".409",".726",".160",".282",".314","681","88"
"2001","Royals","1503","152","729","406","898",".266",".318",".409",".727",".143",".291",".314","697","82"
"2016","Angels","1410","156","717","471","991",".260",".322",".405",".726",".145",".289",".314","691","99"
"2016","White Sox","1428","168","686","455","1285",".257",".317",".410",".727",".153",".304",".314","701","97"
"2012","Reds","1377","172","669","481","1266",".251",".315",".411",".726",".159",".296",".314","688","93"
"2013","Diamondbacks","1468","130","685","519","1142",".259",".323",".391",".715",".133",".301",".314","690","93"
